客户号,客户全称,开户日期,销户日期,手机,证件号码,状态,备注,地址,交易中心,客户证券现货内部资金账户,客户证券现货内部资金账户开户日期,法人,客户性质,客户类,开户操作员,销户操作员,客户反洗钱风险等级
14520009,南宁利昂投资管理有限公司,20141215,,13481011209,06355935-4,只可平仓,,中国广西壮族自治区南宁市青秀区民族大道38-2号泰安大厦18层11号,第三交易中心,,,李柱源,法人,3004nl____[南宁营业部-后台-南宁后台梁懿-__-__],dhm2,,
14560008,大成基金管理有限公司,20140314,20191024,,71092433-9,销户,,中国广东省深圳市深南大道7088号招商银行大厦32楼,第三交易中心,,,,法人,1001______[总部公共部-公共维护-__-__-__],jxl2,dhz,
14560010,大成创新资本管理有限公司,20140430,20170601,,08129760-X,销户,,广东省深圳市深南大道7088号招商银行大厦32楼,第三交易中心,,,,法人,1001______[总部公共部-公共维护-__-__-__],cqw,xn1,
14560011,北京慢点富投资管理有限公司,20140327,,13671234717,58773663-0,只可平仓,,中国北京市海淀区西三环北路72号院A座2208室,第三交易中心,,,朱福兵,法人,1001______[总部公共部-公共维护-__-__-__],jxl2,,
14560013,财通基金管理有限公司,20140702,20151105,,57743381-2,销户,,上海市浦东新区银城中路68号时代金融中心41楼财通基金管理有限公司,第三交易中心,,,,法人,1001______[总部公共部-公共维护-__-__-__],cqw,xn1,
14563001,暨升贸易咨询（上海）有限公司,20140519,,13524134107,08410869-1,只可平仓,,上海市浦东新区福山路388号宏嘉大厦办公楼2506室,第三交易中心,,,王志华,法人,1001______[总部公共部-公共维护-__-__-__],cqw,,
14610003,民生证券投资有限公司,20141103,,13811968500,06961420-3,只可平仓,,中国北京市东城区建国门内大街28号民生金融中心A座20层,第三交易中心,,,余政,法人,1001______[总部公共部-公共维护-__-__-__],jxl2,,
14621001,唐山市丰南区华信精密制管有限公司,20140620,20180524,18931573332,780848909,销户,,河北省唐山市丰南区高新技术产业开发区内迎宾路西,第三交易中心,,,张文东,法人,1201______[唐山营业部-公共维护-__-__-__],yy2,xn1,
14621002,河北华通线缆集团有限公司,20140620,20150729,18931573332,74017492-X,销户,,河北省唐山市丰南经济开发区华通大街,第三交易中心,,,张文东,法人,1201______[唐山营业部-公共维护-__-__-__],yy2,wjn1,
14621003,唐山市中奥物资有限公司,20140821,20160225,15833582823,728816643,销户,,河北省唐山市古冶区王辇庄一街村南,第三交易中心,,,王大勇,法人,1201______[唐山营业部-公共维护-__-__-__],yy2,xn1,
14621005,唐山市国诚玻璃制品厂,20141105,20180824,13931577122,780835243,销户,,河北省唐山市古冶区新立村南（古冶区唐古路西侧）,第三交易中心,,,冯硕,法人,1201______[唐山营业部-公共维护-__-__-__],yy2,xn1,
14621006,唐山市古冶第一玻璃制品厂,20141126,20180824,13582899768,713190860,销户,,河北省唐山市古冶区新立村南,第三交易中心,,,冯国成,法人,1201______[唐山营业部-公共维护-__-__-__],yy2,xn1,
14621007,唐山精诚冶金设备技术开发有限公司,20141219,20180524,15933055815,79269269X,销户,,河北省唐山市路北区煤医道12号,第三交易中心,,,姚远,法人,1201______[唐山营业部-公共维护-__-__-__],yy2,xn1,
14621008,唐山百城铁塔制造有限公司,20141229,20180511,15733357533,67417543X,销户,,河北省唐山市开平区越河镇后于家店村,第三交易中心,,,李翠娣,法人,1201______[唐山营业部-公共维护-__-__-__],yy2,xn1,
14623003,内蒙古普凡生种植有限公司,20140328,,13664776003,05055088-7,只可平仓,,内蒙古自治区包头市稀土高新区黄河大街29号办公楼308室,第三交易中心,,,闫和,法人,1601______[包头营业部-公共维护-__-__-__],cf1,,
14623006,内蒙古晨峰汽贸有限责任公司,20140321,,13789629626,686528933,只可平仓,,内蒙古自治区包头市高新区滨河新区210国道东侧铁道南侧,第三交易中心,,,云庆峰,法人,1601______[包头营业部-公共维护-__-__-__],cf1,,
14623012,包头市聚鑫和物资有限公司,20140625,20151202,15049265673,555466939,销户,,内蒙古自治区包头市东河区木材公司院内F区,第三交易中心,,,赵建,法人,1601______[包头营业部-公共维护-__-__-__],cf1,xn1,
14623013,包头市信泰恒医药有限公司,20140702,20180524,15149369818,58516859-6,销户,,中国内蒙古自治区包头市九原区兴胜经济开发区B号路,第三交易中心,,,周来,法人,1601______[包头营业部-公共维护-__-__-__],cf1,xn1,
15077,山西忠民集团有限公司,20070831,20090915,,1427021000151,销户,09.9.15销户,山西省永济市许家营村,第三交易中心,,,郑忠民,法人,020224____[运城营业部-居间-居间杨东华-__-__],,fry3,
15122088,大连博豪投资有限公司,20150326,20191128,13840891765,56553113-2,销户,,辽宁省大连市中山区上海路51号宏浮大厦2308室,第三交易中心,,,曹贺,法人,350690d2__[大连分公司-营销部-营销一部-大连营销雷宝山-__],zyh2,dhz,
15222008,辽宁泰谷物流有限公司,20151211,,13386863555,39613734-4,正常,,中国辽宁省营口市开发区海星办神井子社区疏港路南营口港物流服务中心311房,第三交易中心,,,李军,法人,3502d7____[大连分公司-居间-大连居间孙祥林-__-__],zyh2,,
15224048,云南高屋投资管理有限公司,20151225,,,MA6K3PYP-1,正常,,中国云南省昆明市五华区龙翔街廊坊B座二层110-2号,第三交易中心,,,邓华,法人,240283__26[昆明营业部-居间-昆明居间马熙姆-__-参赛2018],wzd2,,
15381070,南阳天翼金属制品有限公司,20151028,,13683999149,34488630-0,正常,,中国河南省南阳市宛城区新能源经济开发区,第三交易中心,,,曹亚辉,法人,6303______[南阳仲景南路证券营业部-证券-__-__-__],1201,,
15385029,上海通金投资有限公司,20150825,,18768195686,59973181-0,只可平仓,,中国上海市浦东新区世纪大道1501号国华人寿金融大厦10层1008室,第三交易中心,,,,法人,6203______[上海漕溪北路证券营业部-证券-__-__-__],ywf,,
15522001,金钰达（大连）贸易有限公司,20150420,,13942878923,58809711-3,只可平仓,,辽宁省大连市金州区友谊街道金华小区55号3单元2层2号,第三交易中心,,,王桂芝,法人,3506d9____[大连分公司-营销部-营销王晓光-__-__],zyh2,,
15560008,冀东发展集团国际贸易有限公司,20160125,,18630523358,59231003-6,只可平仓,,中国北京市通州区中关村科技园区通州国光机电一体化产业基地嘉创二路甲2号,第三交易中心,,,吕磊,法人,1004rk____[总部公共部-后台-后台夏国军-__-__],jxl2,,
15615001,运城市恒丰农化有限公司,20150106,,15935598411,75150385-6,只可平仓,,山西省运城市盐湖区运临路农资市场2-008,第三交易中心,,,李金串,法人,0201______[运城营业部-公共维护-__-__-__],ljw2,,
15668,鑫龙经贸,,20091029,,,销户,,中国,第三交易中心,,,,法人,020224____[运城营业部-居间-居间杨东华-__-__],,bgm,
15669,鑫天利经贸,,20091029,,,销户,,中国,第三交易中心,,,,法人,020224____[运城营业部-居间-居间杨东华-__-__],,bgm,
15968,山西忠民集团有限公司,20031014,20090915,,,销户,09.9.15销户,"20031014  20050310编码转入34888",第三交易中心,,,,法人,020224____[运城营业部-居间-居间杨东华-__-__],,fry3,
16124333,云南铝业股份有限公司,20161213,,,21658149-X,正常,,中国云南省昆明市呈贡县七甸街道,第三交易中心,,,张正基,法人,24________[昆明营业部-__-__-__-__],wzd2,,
16220006,南宁君盛联创资产管理有限公司,20160715,20161222,18577962324,31588312-7,销户,,中国广西壮族自治区南宁市青秀区民族大道93号新兴大厦A栋26D2,第三交易中心,,,严慧强,法人,3002n9____[南宁营业部-居间-南宁居间黄竑山-__-__],dhm2,xn1,
16224001,西双版纳云果食品有限公司,20160322,20180718,13658837961,05945454-1,销户,,中国云南省西双版纳傣族自治州景洪市紫金花园升泰苑商B幢8-1-102号,第三交易中心,,,李海霞,法人,240676____[昆明营业部-营销部-营销张金凤-__-__],zzp,xn1,
16251007,郑州市豫中轻金属机械有限公司,20160229,20180802,15903695888,17027546-1,销户,,中国河南省郑州市工业路104号,第三交易中心,,,柴建勋,法人,2002zw____[郑州营业部-居间-郑州居间刘鹏-__-__],zll2,xn1,
16257002,德宏高联商贸有限公司,20160321,20161116,13888528777,35187900-2,销户,,中国云南省德宏傣族景颇族自治州芒市工业园区遮放片区（户闷村及弄喜村）,第三交易中心,,,陈联习,法人,2401______[昆明营业部-公共维护-__-__-__],zcb3,xn1,
16259026,河北佳创生物科技有限公司,20160920,20180703,15133117002,30804232-X,销户,,中国河北省石家庄市桥西区新石中路375号金石大厦913,第三交易中心,,,郭腾飞,法人,1001______[总部公共部-公共维护-__-__-__],ylx,xn1,
16301002,万屹资产管理（上海）有限公司,20160229,20160505,15000884576,32089345-0,销户,,中国上海市浦东新区银城中路168号2302-04室,第三交易中心,,,,法人,6803______[河南分公司（证券）-证券-__-__-__],zyf2,xn1,
16301018,上海拾晖资产管理有限公司,20160921,20170515,15618990153,MA1H703M-1,销户,,中国上海市浦东新区金湘路201弄15号316室,第三交易中心,,,,法人,6803______[河南分公司（证券）-证券-__-__-__],zyf2,xn1,
16308066,北京神州牧投资基金管理有限公司,20160420,20171211,18811589392,30657058-3,销户,,中国北京市朝阳区建国路93号院10号楼309号,第三交易中心,,,,法人,7303______[郑州郑汴路证券营业部-证券-__-__-__],zyf2,xn1,
16336001,广西东方正和投资股份有限公司,20160921,20161219,,31024431-8,销户,"私募基金管理人,登记备案编号P1028244",中国广西壮族自治区南宁市青秀区东葛路118号青秀万达广场西1栋3302号房,第三交易中心,,,,法人,7503______[广西分公司（证券）-证券-__-__-__],zcb3,xn1,
16385011,上海复胜资产管理合伙企业（有限合伙）,20160603,20200820,18600581066,MA1JL2AF-2,销户,,中国上海市浦东新区陆家嘴环路166号未来资产大厦26层A单元,第三交易中心,,,,法人,6203______[上海漕溪北路证券营业部-证券-__-__-__],ywf,dhz,
16510006,鄂尔多斯市汇博商贸有限责任公司,20160720,20191016,13614771222,31848496-5,销户,,中国内蒙古自治区鄂尔多斯市康巴什新区康和盛世小区5号楼1单元1002室,第三交易中心,,,白亮,法人,1001______[总部公共部-公共维护-__-__-__],jxl2,dhz,
16510007,鄂尔多斯市星欣荣运销有限责任公司,20161220,,15304776086,09260909-0,只可平仓,,中国内蒙古自治区鄂尔多斯市伊金霍洛旗阿勒腾廓热镇达尔胡特街西33街5队47号,第三交易中心,,,呼建刚,法人,1001______[总部公共部-公共维护-__-__-__],jxl2,,
16610002,民丰资本投资管理有限公司,20160607,,13810199139,31838012-X,只可平仓,,中国北京市东城区建国门内大街28号民生金融中心B座17层,第三交易中心,,,卢志强,法人,1001______[总部公共部-公共维护-__-__-__],jxl2,,
16910001,民生期货有限公司,20161111,20171222,13520056055,70146315-5,销户,,中国北京市东城区建国门内大街28号民生金融中心D座7层,第三交易中心,,,,法人,1001____02[总部公共部-公共维护-__-__-ctp-min],yss1,xn1,
17126006,北京华懿投资管理有限公司,20170905,,18600129482,34831243-5,正常,,中国北京市昌平区科技园区超前路甲1号11号楼429室,第三交易中心,,,邓宏彬,法人,4006__ci__[机构业务二部-营销部-__-北京付银霞开发　-__],zcb3,,
17127001,杭州豫郑钢铁有限公司,20170523,,13336178933,MA28M2J7-1,正常,,中国浙江省杭州市拱墅区康惠路2号3#510,第三交易中心,,,金锋,法人,2706__h1__[杭州营业部-营销部-__-杭州马俊华-__],yl,,
17127002,杭州启佳投资管理咨询有限公司,20170612,20181022,13606621539,09203429-0,销户,,中国浙江省杭州市下城区石板巷新村23号206室,第三交易中心,,,张永正,法人,2706__h1__[杭州营业部-营销部-__-杭州马俊华-__],fk2,xn1,
17127003,杭州耀美实业有限公司,20170613,20181022,13606621539,08885737-4,销户,,中国浙江省杭州市下城区回龙庙前一弄16号322室,第三交易中心,,,张永正,法人,2706__h1__[杭州营业部-营销部-__-杭州马俊华-__],yl,xn1,
17162005,斯蒂文国际贸易(天津)有限公司,20171120,,13332002217,MA07E587-1,只可平仓,,中国天津市塘沽区自贸试验区东疆保税港区兰州道565号海泽物流园6号仓库6单元-0393,第三交易中心,,,石立捷,法人,0806__jt__[天津营业部-营销部-__-天津营销孙兴睿-__],lyf1,,
17210001,北京怡和鸿鑫资产管理有限公司,20170111,,13581702498,09243880-X,只可平仓,,中国北京市朝阳区京顺东街6号院25号楼1层101,第三交易中心,,,李万方,法人,1001______[总部公共部-公共维护-__-__-__],jxl2,,
17328001,深圳知方石投资有限公司,20170428,20170731,075582795529,35189571-6,销户,,中国广东省深圳市福田区益田路时代金融中心6E-3,第三交易中心,,,,法人,4103______[广东分公司-证券-__-__-__],zcb3,xn1,
17385010,上海融腾基金管理有限公司,20171222,20180820,18638997689,32470252-7,销户,,中国上海市闸北区江场路1377弄绿地中央广场2号楼,第三交易中心,,,,法人,6203______[上海漕溪北路证券营业部-证券-__-__-__],zyf2,xn1,
17510001,鄂尔多斯市乐创煤炭有限公司,20170222,,15934904820,MA0MYU7C-7,只可平仓,,中国内蒙古自治区鄂尔多斯市东胜区校园路2号满世集团办公楼3层,第三交易中心,,,张耀军,法人,1001______[总部公共部-公共维护-__-__-__],ywf,,
17510002,北京满世投资有限公司,20170303,,15934904821,06281603-X,只可平仓,,中国内蒙古自治区鄂尔多斯市东胜区校园路2号满世集团办公楼3层,第三交易中心,,,刘强,法人,1001______[总部公共部-公共维护-__-__-__],ywf,,
17510006,北京赛锋科技有限公司,20170921,,13720243931,MA00CY7M-X,只可平仓,,中国北京市朝阳区曙光西里甲10号二层无界空间,第三交易中心,,,钱程,法人,1004bd__01[总部公共部-后台-维护1-__-ctp],zcb3,,
17528002,广东龙国化工有限公司,20170117,20180807,13609089215,56598159-8,销户,,中国广东省广州市天河区廋狗岭路429号1801房自编07室,第三交易中心,,,林镇丰,法人,41__t7____[广东分公司-__-广州罗英少-__-__],xyq2,xn1,
17528018,张家港保税区淳力国际贸易有限公司,20170720,,18927796338,MA1NK45F-4,只可平仓,,中国江苏省苏州市张家港市保税区诺亚物流大厦133D,第三交易中心,,,曾繁坡,法人,4104t7____[广东分公司-后台-广州罗英少-__-__],xyq2,,
17560001,华润深国投信托有限公司,20170721,20180703,,19217597-1,销户,,中国广东省深圳市福田区中心四路1-1号嘉里建设广场第三座10-12层,第三交易中心,,,,法人,600468____[金融机构业务部-后台-金融机构业务部郑佳-__-__],zyf2,xn1,
17610002,民生证券股份有限公司,20170711,20210104,,17000168-X,销户,,中国北京市东城区建国门内大街28号民生金融中心A座19层,第三交易中心,,,,法人,1001______[总部公共部-公共维护-__-__-__],ywf,dhz,
17610003,民生证券股份有限公司,20171018,20171020,,17000168-X,销户,,中国北京市东城区建国门内大街28号民生金融中心A座16层-18层,第三交易中心,,,,法人,1001______[总部公共部-公共维护-__-__-__],zyf2,888,
17610005,民生证券股份有限公司,20171018,20171020,,17000168-X,销户,,中国北京市东城区建国门内大街28号民生金融中心A座16层-18层,第三交易中心,,,,法人,1001______[总部公共部-公共维护-__-__-__],zyf2,888,
17610006,民生证券股份有限公司,20171019,20190130,,9111000017000168X,销户,,中国北京市东城区建国门内大街28号民生金融中心A座16-18层,第三交易中心,,,,法人,1001____01[总部公共部-公共维护-__-__-ctp],ywf,xn1,
17610008,民生证券股份有限公司,20171019,20171019,,17000168-X,销户,,中国北京市东城区建国门内大街28号民生金融中心A座16层-18层,第三交易中心,,,,法人,1001______[总部公共部-公共维护-__-__-__],zyf2,888,
17910001,民生期货有限公司,20170929,20180820,,0101372017092101,销户,,中国北京市东城区建国门内大街28号D座7层,第三交易中心,,,,法人,1001____01[总部公共部-公共维护-__-__-ctp],zyf2,xn1,
18112018,山西亚通公路物资有限公司,20180523,,18636817005,78851299-1,只可平仓,,中国山西省太原市经济技术开发区康寿街9号106室,第三交易中心,,,郭春龙,法人,0306hn____[大同营业部-营销部-大同营销魏琼-__-__],wyl2,,
18126001,北京立方体资产管理有限公司,20180702,,13810875252,MA01BTBY-5,正常,,中国北京市房山区长沟镇金元大街1号北京基金小镇大厦D座457,第三交易中心,,,崔亚锋,法人,4006__c726[机构业务二部-营销部-__-北京营销陈能镇-参赛2018],zcb3,,
18127038,赞宇科技集团股份有限公司,20180202,20211019,15068195688,72362990-2,销户,,中国浙江省杭州市西湖区古墩路702号,第三交易中心,,,方银军,法人,2706__h1__[杭州营业部-营销部-__-杭州马俊华-__],yl,dhz,
18127888,浙江臻博睿资产管理有限公司,20180620,,18258403610,MA2B0QCL-X,只可平仓,,中国浙江省杭州市下城区朝晖路205深蓝广场2601,第三交易中心,,,蒋加习,法人,2706ts____[杭州营业部-营销部-杭州实习营销蔡欣纯-__-__],zyf2,,
18131001,上海神火国际贸易有限公司,20180719,,03705176321,67457615-3,只可平仓,,中国河南省商丘市永城市光明路神火国贸5楼,第三交易中心,,,李仲远,法人,8103______[商丘神火大道证券营业部-证券-__-__-__],3401,,
18162001,天津市皓升鸿翔信息技术有限公司,20180425,,13920440535,MA05J4PF-8,正常,,中国天津市河北区王串场街容彩公寓1号楼1门302,第三交易中心,,,丁海燕,法人,0806__jt__[天津营业部-营销部-__-天津营销孙兴睿-__],zyf2,,
18162018,珠海天美策略基金管理有限公司,20180612,,15202260327,MA4UYA5L-8,只可平仓,,中国天津市和平区新兴路观云里2号楼1129,第三交易中心,,,田怡谦,法人,0806e4____[天津营业部-营销部-天津营销高世阳-__-__],zcb3,,
18220001,广西睿途资产管理有限公司,20180330,20200811,13978878626,MA5N1Q6C-X,销户,,中国广西壮族自治区南宁市青秀区东葛路118号南宁青秀万达广场西1栋4116号,第三交易中心,,,邓琼英,法人,3001______[南宁营业部-公共维护-__-__-__],zyf2,dhz,
18226888,西藏云彩文化艺术有限公司,20181116,,18510776282,MA6T11RN-2,只可平仓,,中国北京市朝阳区建国门外大街19号8层,第三交易中心,,,任朝阳,法人,4001______[机构业务二部-公共维护-__-__-__],yml2,,
18251001,威海市糖灵子文化传媒有限公司,20180206,20180802,15615810023,MA3FBNQP-9,销户,,中国山东省威海市文登区大水泊镇场西村116号,第三交易中心,,,于令剑,法人,2002e3____[郑州营业部-居间-郑州居间张恒恒-__-__],zll2,xn1,
18262001,鄂尔多斯市伊化天然气有限责任公司,20180119,,15704778988,66733354-0,只可平仓,,中国内蒙古自治区鄂尔多斯市乌审旗乌审召镇,第三交易中心,,,吴爱国,法人,0802j7____[天津营业部-居间-天津居间王资-__-__],zcb3,,
18262999,天津富邦钢材加工有限公司,20181224,,13332066888,MA069CNG-1,只可平仓,,中国天津市静海县独流镇京福公路与李家院交口东侧王家院车站旁,第三交易中心,,,张加刚,法人,0802df____[天津营业部-居间-天津营业部居间王方红-__-__],lyf1,,
18301001,浙江龙隐投资管理有限公司,20180327,20201210,13007610551,33687925-8,销户,zctgsjjs@tg.gtja.com,中国河南省郑州市21世纪社区美壁加州4607,第三交易中心,,,,法人,6803______[河南分公司（证券）-证券-__-__-__],ywf,dhz,
18301009,和泉(杭州)资产管理有限公司,20181115,20210826,18037372666,MA28LC4N-9,销户,,中国河南省郑州市郑东新区榆林北路绿地中心南塔1316室,第三交易中心,,,,法人,6803______[河南分公司（证券）-证券-__-__-__],v6s9010002,dhz,
18385010,上海皋仲实业有限公司,20180917,,13917494681,32443425-1,正常,,中国上海市徐汇区南丹东路188号久隆大厦1304,第三交易中心,,,陈忠,法人,6203______[上海漕溪北路证券营业部-证券-__-__-__],601,,
18510001,北京万家丰盈商贸有限公司,20181029,,13331168898,05363309-8,正常,,中国北京市海淀区温泉乡颐温路南2号楼1层1045室,第三交易中心,,,侯艳丽,法人,1004oo____[总部公共部-后台-总部宋敏-__-__],ywf,,
18510008,上海久阳实业集团有限公司,20181224,,18019326283,75614402-0,只可平仓,,中国上海市浦东新区自由贸易试验区世纪大道787号602E室,第三交易中心,,,李挺华,法人,1706cl__01[机构业务六部-营销部-营销陈龙-__-ctp],lyf1,,
18522001,大连森垚商贸有限公司,20180418,,13194267000,MA0P5EW4-1,正常,,中国辽宁省大连市庄河市鞍子山乡鞍子山村丰利大街158号政府办公楼东侧楼202室,第三交易中心,,,齐建燕,法人,3504d4____[大连分公司-后台-大连后台赵宇辉-__-__],zyh2,,
18610001,鹏华资产管理有限公司,20180123,20190117,15019211212,06025764-1,销户,,中国广东省深圳市福田区益田路6001号太平金融大厦22层,第三交易中心,,,,法人,1001____01[总部公共部-公共维护-__-__-ctp],zyf2,xn1,
18610002,鹏华资产管理有限公司,20180117,20190117,15019211212,06025764-1,销户,,中国广东省深圳市福田区益田路6001号太平金融大厦22层,第三交易中心,,,,法人,1001____01[总部公共部-公共维护-__-__-ctp],zyf2,xn1,
18610003,鹏华资产管理有限公司,20180123,20190117,15019211212,06025764-1,销户,,中国广东省深圳市福田区益田路6001号太平金融大厦22层,第三交易中心,,,,法人,1001____01[总部公共部-公共维护-__-__-ctp],zyf2,xn1,
18610005,鹏华资产管理有限公司,20180123,20190117,15019211212,06025764-1,销户,,中国广东省深圳市福田区益田路6001号太平金融大厦22层,第三交易中心,,,,法人,1001____01[总部公共部-公共维护-__-__-ctp],zyf2,xn1,
18610006,鹏华资产管理有限公司,20180123,20190117,15019211212,06025764-1,销户,,中国广东省深圳市福田区益田路6001号太平金融大厦22层,第三交易中心,,,,法人,1001____01[总部公共部-公共维护-__-__-ctp],ywf,xn1,
18610007,鹏华资产管理有限公司,20180123,20190117,15019211212,06025764-1,销户,,中国广东省深圳市福田区益田路6001号太平金融大厦22层,第三交易中心,,,,法人,1001____01[总部公共部-公共维护-__-__-ctp],ywf,xn1,
18610008,华润深国投信托有限公司,20180518,20190117,,19217597-1,销户,,中国广东省深圳市福田区中心四路1-1号嘉里建设广场第三座第10-12层,第三交易中心,,,,法人,1001____01[总部公共部-公共维护-__-__-ctp],zyf2,xn1,
18610009,浙江品润投资管理有限公司,20180730,20210303,18761662568,10178144-0,销户,,中国浙江省杭州市上城区甘水巷145号,第三交易中心,,,,法人,1001____01[总部公共部-公共维护-__-__-ctp],wzd2,dhz,
18610010,浙江品润投资管理有限公司,20180731,20191227,18761662568,32820285-3,销户,,中国浙江省杭州市上城区甘水巷145号,第三交易中心,,,,法人,1001____01[总部公共部-公共维护-__-__-ctp],ywf,dhz,
18610011,浙江品润投资管理有限公司,20180907,20190605,18761662568,10178144-0,销户,,中国浙江省杭州市上城区甘水巷145号,第三交易中心,,,,法人,1001____01[总部公共部-公共维护-__-__-ctp],zyf2,yfj,
18610012,湖南八零后资产管理有限公司,20180913,20190627,15377489766,63159284X,销户,,中国湖南省长沙市雨花区东塘兴威名座24-2105,第三交易中心,,,,法人,1704jl____[机构业务六部-后台-长沙柳科武-__-__],ywf,xn1,
18610013,杭州七禾聚资产管理有限公司,20181107,,17612191407,MA27W6A1-X,正常,,中国浙江省杭州市滨江区寰宇天下商务中心B座1503室,第三交易中心,,,,法人,1001____01[总部公共部-公共维护-__-__-ctp],v6s9010002,,
18729001,濮阳市越大物资有限责任公司,20180516,,18539351253,09288443-9,只可平仓,,中国河南省濮阳市黄河中路墨香苑2号楼09号房,第三交易中心,,,李凯凯,法人,420679____[上海分公司-营销部-上海朱建国-__-__],zyf2,,
18729002,镇江同立橡胶有限公司,20180627,20190910,13862444866,14137327-3,销户,,中国江苏省镇江市镇江新区松林山路79号,第三交易中心,,,徐康,法人,100679____[总部公共部-营销部-上海朱建国-__-__],zyf2,xn1,
18729003,浙江洪波科技股份有限公司,20180716,20190412,13505722510,14697671-9,销户,,中国浙江省湖州市练市镇万潭湾,第三交易中心,,,陈找根,法人,100679____[总部公共部-营销部-上海朱建国-__-__],xsr,xn1,
18729004,汇智创富投资管理（浙江）有限公司,20180815,,15821080431,MA27Y3DN-1,只可平仓,,中国浙江省杭州市下城区德胜中路369号407室,第三交易中心,,,方时雄,法人,4201______[上海分公司-公共维护-__-__-__],xsr,,
18729005,广西今朝顺贸易有限公司,20180910,,15296449697,MA5NC7WN-3,只可平仓,于2021年5月7日配合广西南宁市公安局南湖分局调取证据,中国广西壮族自治区南宁市青秀区中泰路9号天健国际公馆A座1402号,第三交易中心,,,宋仕斌,法人,420679__01[上海分公司-营销部-上海朱建国-__-ctp],xsr,,
18910001,民生期货有限公司,20180328,20180907,,71093453-7,销户,,中国北京市东城区建国门内大街28号民生金融中心D座7层,第三交易中心,,,,法人,1001____01[总部公共部-公共维护-__-__-ctp],zcb3,xn1,
18910002,吴娱娜,20181030,20201112,13911952770,911100001000229601,销户,,中国北京市东城区建国门内大街28号民生金融中心D座7层,第三交易中心,,,,法人,1001____01[总部公共部-公共维护-__-__-ctp],yss1,dhz,
19112001,山西大象生物科技有限公司,20191101,,13333444899,MA0KJ8R4-5,只可平仓,,中国山西省吕梁市文水县刘胡兰镇大象村,第三交易中心,,,段俊辉,法人,0306yg__01[大同营业部-营销部-大同张劼晶-__-ctp],wyl2,,
19113011,沈阳益海嘉信金属材料有限公司,20190626,,13079886886,MA0YFX2N-0,正常,,中国辽宁省沈阳市沈北新区蒲硕路90-8号,第三交易中心,,,冉德双,法人,1306fh____[机构业务六部(李奇峰)-营销部-营销李奇峰-__-__],lyf1,,
19122001,大连泓达生态发展有限公司,20200102,,13904099307,MA0YL771-4,只可平仓,,中国辽宁省大连市普兰店区莲山街道安家社区,第三交易中心,,,金崇浩,法人,3506iz__01[大连分公司-营销部-大连李健-__-ctp],zyh2,,
19126001,北京金大虎资本管理有限公司,20190821,20210816,13811488007,56949668-8,销户,,中国北京市大兴区亦庄开发区地盛北街1号北工大软件园18号楼云基地9层,第三交易中心,,,,法人,4006__c730[机构业务二部-营销部-__-北京营销陈能镇-自有资金],v6s9010002,dhz,
19126002,北京金大虎资本管理有限公司,20191018,20210816,13811134962,56949668-8,销户,,中国北京市大兴区亦庄开发区地盛北街1号北工大软件园18号楼云基地9层,第三交易中心,,,,法人,4006__c730[机构业务二部-营销部-__-北京营销陈能镇-自有资金],v6s9010002,dhz,
19128001,上海相变投资管理有限公司,20190729,20210831,18583785353,34219894-2,销户,,中国上海市浦东新区福山路458号同盛大厦1901室,第三交易中心,,,,法人,4106h4__01[广东分公司-营销部-广东分营销黄友良-__-ctp],v6s9010002,dhz,
19128002,横琴广金美好基金管理有限公司,20191104,,,19223854-9,正常,,中国广东省广州市天河区珠江东路30号广州银行大厦2201,第三交易中心,,,,法人,4106h4__01[广东分公司-营销部-广东分营销黄友良-__-ctp],zcb3,,
19128003,上海量金资产管理有限公司,20191202,,68583977,20196194-0,正常,,中国上海市浦东新区锦康路308号1701C,第三交易中心,,,,法人,4106h4__29[广东分公司-营销部-广东分营销黄友良-__-CTP-自有资金],zyy1,,
19128006,珠海市和赢资产管理有限责任公司,20191204,,,32484701-3,只可平仓,,中国广东省佛山市南海区桂城海六路8号联达大厦1203室,第三交易中心,,,,法人,4102k8__01[广东分公司-居间-广东分居间颜德山-__-ctp],wzd2,,
19128007,上海品赋投资管理有限公司,20191209,20210127,18502100762,63159284X,销户,,中国上海市浦东新区张杨路1515弄22号303室,第三交易中心,,,,法人,4106h4__01[广东分公司-营销部-广东分营销黄友良-__-ctp],zyy1,dhz,
19128008,珠海格林顿资产管理有限公司,20191225,,18620561001,71093453-7,正常,,中国广东省广州市天河区花城大道68号环球都会广场1101室,第三交易中心,,,,法人,4106h4__29[广东分公司-营销部-广东分营销黄友良-__-CTP-自有资金],zyy1,,
19128168,广东金羊基金管理有限公司,20190826,,13600053813,MA59JB6X-6,只可平仓,,中国广东省广州市天河区华夏路16号1402房(部位:自编B)(仅限办公),第三交易中心,,,,法人,4101______[广东分公司-公共维护-__-__-__],wzd2,,
19129001,上海瓦洛兰投资管理有限公司,20191031,,15692166157,32445588-8,只可平仓,,中国上海市浦东新区桃林路777号1005室,第三交易中心,,,,法人,42__in__01[上海分公司-__-上海陈祥鹍-__-ctp],wzd2,,
19129002,中安鼎盛投资(深圳)有限公司,20191127,20210427,19924469039,914403001017814402,销户,无,中国广东省深圳市南山区尚美科技大厦1405室,第三交易中心,,,,法人,4206incm29[上海分公司-营销部-上海陈祥鹍-范溪-CTP-自有资金],xsr,dhz,
